codigo pais,pais
101,NAMIBIANA
103,ANGOLESA
104,ARGELIANA
105,DE BENNIN
106,BOTSWANESA
107,BURUNDESA
108,DE CABO VERDE
109,COMORENSE
110,CONGOLESA
111,MARFILEÑA
112,CHADIANA
113,DE DJIBOUTI
114,EGIPCIA
115,ETIOPE
116,GABONESA
117,GAMBIANA
118,GHANATA
119,GUINEA
120,GUINEA
121,GUINEA ECUATORIANA
122,LIBIA
123,KENIANA
124,LESOTHENSE
125,LIBERIANA
127,MALAWIANA
128,MALIENSE
129,MARROQUI
130,MAURICIANA
131,MAURITANA
132,MOZAMBIQUEÑA
133,NIGERINA
134,NIGERIANA
135,CENTRO AFRICANA
136,CAMERUNESA
137,TANZANIANA
139,RWANDESA
140,DEL SAHARA
141,DE SANTO TOME
142,SENEGALESA
143,DE SEYCHELLES
144,SIERRA LEONESA
145,SOMALI
146,SUDAFRICANA
147,SUDANESA
148,SWAZI
149,TOGOLESA
150,TUNECINA
151,UGANDESA
152,ZAIRANA
153,ZAMBIANA
154,DE ZIMBAWI
201,ARGENTINA
202,BAHAMEÑA
203,DE BARBADOS
204,BELICEÑA
205,BOLIVIANA
206,BRASILEÑA
207,CANADIENSE
208,COLOMBIANA
209,COSTARRICENSE
210,CUBANA
211,CHILENA
212,DOMINICA
214,SALVADOREÑA
215,ESTADOUNIDENSE
216,GRANADINA
217,GUATEMALTECA
218,BRITANICA
219,GUYANESA
220,HAITIANA
221,HONDUREÑA
222,JAMAIQUINA
223,MEXICANA
224,NICARAGUENSE
225,PANAMEÑA
226,PARAGUAYA
227,PERUANA
228,PUERTORRIQUEÑA
229,DOMINICANA
230,SANTA LUCIENSE
231,SURINAMENSE
232,TRINITARIA
233,URUGUAYA
234,VENEZOLANA
299,AMERICANA
301,AFGANA
303,DE BAHREIN
305,BHUTANESA
306,BIRMANA
307,NORCOREANA
308,SUDCOREANA
309,CHINA
310,CHIPRIOTA
311,ARABE
312,FILIPINA
313,HINDU
314,INDONESA
315,IRAQUI
316,IRANI
317,ISRAELI
318,JAPONESA
319,JORDANA
320,CAMBOYANA
321,KUWAITI
322,LIBANESA
323,MALASIA
324,MALDIVA
325,MONGOLESA
326,NEPALESA
327,OMANESA
328,PAKISTANI
329,DEL QATAR
330,SIRIA
331,LAOSIANA
332,SINGAPORENSE
334,TAILANDESA
335,TAIWANESA
336,TURCA
337,NORVIETNAMITA
339,YEMENI
401,ALBANESA
403,ALEMANA
404,ANDORRANA
405,AUSTRIACA
406,BELGA
407,BULGARA
408,CHECOSLOVACA
409,DANESA
410,VATICANA
411,ESPAÑOLA
412,FINLANDESA
413,FRANCESA
414,GRIEGA
415,HUNGARA
416,IRLANDESA
417,ISLANDESA
418,ITALIANA
419,LIECHTENSTENSE
420,LUXEMBURGUESA
421,MALTESA
422,MONEGASCA
423,NORUEGA
424,HOLANDESA
426,PORTUGUESA
427,BRITANICA
428,SOVIETICA BIELORRUSA
429,SOVIETICA UCRANIANA
430,RUMANA
431,SAN MARINENSE
432,SUECA
433,SUIZA
435,YUGOSLAVA
501,AUSTRALIANA
502,FIJIANA
503,SALOMONESA
504,NAURUANA
506,PAPUENSE
507,SAMOANA
667,ESLOVACA
609,BURKINA FASO
621,ESTONIA
624,MICRONECIA
625,REINO UNIDO(DEPEN. TET. BRIT.)
626,REINO UNIDO(BRIT. DEL EXT.)
627,REINO UNIDO(C. BRIT. DEL EXT.)
629,REINO UNIDO
642,KIRGUISTAN
645,LITUANIA 
648,"MOLDOVIA, REPUBLICA DE"
650,MACEDONIA
668,ESLOVENIA
684,ESLOVAQUIA
